brand,category_name,description,price,date_added,notes,sort_order
Hermitage Homes,PACKS,"Provide Single Storey Upgrade Package including:
- 2720mm high ceilings to a single storey
- Provide Evaporative Cooling with up to 8No. Outlets, to the whole single storey house in lieu of 1No. split system in Living Area
- Provide Laminate Laundry Cabinets and M0 Mineral Surface Benchtop in lieu of standard Trough and Steel Cabinet including:
  - 900mm wide x 580mm deep Laminate Cabinets with 1No. Doors
  - 20mm M0 Mineral Surface Benchtop with 20mm Square Edge
  - 1No.Posh Domaine Trough 45L Stainless Steel Trough
  - 900mm wide x 700mm high Category 1 Tiled Splashback above the Cabinet with approx. 600mm return
- Provide approx. 900mm wide x 660mm high x 320mm deep Laminate Overhead Cabinets",8500,2023-10-04,standard now 2590mm,1
Hermitage Homes,PACKS,"Provide Double Storey Upgrade Package including:
- 2720mm high ceilings to the Ground Floor and 2590mm high ceilings to the First Floor
- Provide Evaporative Cooling with 5No. outlets to upstairs only of a double storey in lieu of split system to the First Floor.
- Provide Laminate Laundry Cabinets and M0 Mineral Surface Benchtop in lieu of standard Trough and Steel Cabinet including:
  - 900mm wide x 580mm deep Laminate Cabinets with 1No. Doors
  - 20mm M0 Mineral Surface Benchtop with 20mm Square Edge
  - 1No. Posh Domaine Trough 45L Stainless Steel Trough
  - 900mm wide x 400mm high Category 1 Tiled Splashback
- Provide approx. 900mm wide x 660mm high x 320mm deep Laminate Overhead Cabinets and 900mm wide x 300mm high Category 1 Splashback Wall Tiles to the Laundry wall above Laundry Benchtop",5999,2023-10-04,standard now 2590mm,2
Hermitage Homes,PACKS,"Provide Kitchen Promotion Pack including:
- 40mm square edge to the Kitchen wall and island cabinets. Please note: M0 Mineral Surface benchtops over 3000mm in length will require a join in the benchtop. This join will be placed in the most inconspicuous position.
- 1No. Posh Solus MK3 Double Bowl Undermount Sink in Stainless Steel to the Kitchen in lieu of standard double bowl sink.
- 1No. Posh Solus MK2 Gooseneck Sink Mixer in Chrome to the Kitchen in lieu of standard Sink Mixer.
- 1No. 800mm wide x 900mm high Category 1 M0 Mineral Surface Waterfall End with 40mm Square Edging to either side of the Kitchen Island Benchtop if applicable, otherwise to one side of the Kitchen Island Benchtop.
- 1No. Capped water point to the Fridge space.
- 3No. Piatto 240 Black in Colour over Kitchen Island.
- Built in Domain 900mm Under Mount Rangehood (UMH90B).
- Category 1, colour on clear glass splashback to the Kitchen in lieu of wall tiles. Note: Refer to Colour Selection for colour. Glass has a green tinge to it, not 100% clear.",4999,2023-10-04,,3
Hermitage Homes,PACKS,"Provide Bathroom & Ensuite Promotion Pack for up to 2No. Wet areas including:
- Category 1 floor to ceiling wall tiles to 2No. Wet Areas (excluding WC) includes square set plaster and laser battening to ceiling
- 1No. approx. 330mm high x 535mm wide Tiled Shower Niche to each shower up to 2No. showers
- Provide Posh Domaine Semi Inset Basin to all Basins in lieu of standard Basin
- Posh Solus MK3 Basin Mixer Tap in Chrome to all Basins in lieu of standard Basin Mixer
- Posh Domaine Twin Rail Shower in Chrome to all the showers in lieu of standard shower outlet
- Posh Domaine Close Coupled Rimless Toilet Suite to all the Toilets in lieu of standard",6999,2023-10-04,"Up to 2 wet areas (bathroom/ensuites), 2 basins, 2 basin mixers, 2 shower niches, 2 toilets and 2 Shower rails. 2 full height tiled areas",4
Hermitage Homes,PACKS,"Provide Bathroom & Ensuite Promotion Pack for up to 3No. Wet Areas (Co Living Designs) including:
- Category 1 floor to ceiling wall tiles to 3No. Wet Areas (excluding WC) includes square set plaster and laser battening to ceiling
- 1No. approx. 330mm high x 535mm wide Tiled Shower Niche to each shower up to 3No. showers
- Provide Posh Domaine Semi Inset Basin to all Basins in lieu of standard Basin
- Posh Solus MK3 Basin Mixer Tap in Chrome to all Basins in lieu of standard Basin Mixer
- Posh Domaine Twin Rail Shower in Chrome to all the showers in lieu of standard shower outlet
- Posh Domaine Close Coupled Rimless Toilet Suite to all the Toilets in lieu of standard",10599,2025-03-14,"Up to 3 wet areas (bathroom/ensuites), 3 basins, 3 basin mixers, 3 shower niches, 3 toilets and 3 Shower rails. 3 full height tiled areas",5
Hermitage Homes,PACKS,"Provide Bathroom & Ensuite Promotion Pack to the Leon 22 GE including:
- Category 1 floor to ceiling wall tiles to Ensuite 1, 2, 3, 4 and 5 (excluding WC) includes square set plaster and laser battening to ceiling
- 1No. approx. 330mm high x 535mm wide Tiled Shower Niche to Ensuite 2, 3, 4 and 5 showers
- Provide Posh Domaine Semi Inset Basin to Ensuite 2, 3, 4 and 5 Basins in lieu of standard Basin
- Posh Solus MK3 Basin Mixer Tap in Chrome to Ensuite 2, 3, 4 and 5 Basins in lieu of standard Basin Mixer
- Posh Domaine Twin Rail Shower in Chrome to Ensuite 2, 3, 4 and 5 showers in lieu of standard shower outlet
- Posh Domaine Close Coupled Rimless Toilet Suite to Ensuite 2, 3, 4 and 5  Toilets in lieu of standard",14999,2025-03-14,"Up to 5 wet areas (bathroom/ensuites) but consider Ensuite 1 only gets the full height tiling nothing else as it is a specificlly designed accessible room, 4 basins, 4 basin mixers, 4 shower niches, 4 toilets and 4 Shower rails. 5 full height tiled areas",6
Hermitage Homes,PACKS,"Provide Single Storey Kickstarter Package including:
- Provide Single Storey Upgrade Package including:
  - 2590mm ceiling height to Single Storey
  - 40mm Square Edge to M0 Mineral Surface Benchtops in Kitchen
  - Provide Evaporative Cooling, up to 8No. outlets, to Single Storey in lieu of 1No. Split System
  - 2No. external Lights to Façade
- Provide 1No. Capped water point to the Fridge space
- Provide 1No. additional Double GPO to the Kitchen Island (1No. total)
- Provide 1No. 2040mm high x up to 1800mm wide Sliding Door unit with 2No. Mirror Sliding Doors to Bed 2, Bed 3 & Bed 4 if applicable in lieu of standard hinged only doors (3No. Units total)",9500,,,7
Hermitage Homes,PACKS,"Provide downgrade pack to a single storey including:
- Provide standard laminate benchtop in lieu of M0 Mineral Surface benchtop
- Provide standard light points in lieu of LED lights
- Provide Cat 1 carpet in lieu of Cat 2
- Remove 1No. split system to the Living",-3000,,,8
Hermitage Homes,PACKS,"Provide downgrade pack to a double storey including:
- Provide standard laminate benchtop in lieu of M0 Mineral Surface benchtop
- Provide standard light points in lieu of LED lights
- Provide Cat 1 carpet in lieu of Cat 2
- Remove 1No. split system to the Living and 1No. to the Master (2No. Total)",-5000,,,9
Hermitage Homes,CEILING HEIGHTS,Provide 2720mm high ceilings in lieu of 2590mm to a single storey.,5000,,standard now 2590mm,1
Hermitage Homes,CEILING HEIGHTS,Provide 2590mm high ceilings in lieu of 2440mm to the first floor of a double storey.,4000,,,2
Hermitage Homes,CEILING HEIGHTS,Provide 2720mm high ceilings in lieu of 2590mm to the ground floor of a double storey.,5000,,standard now 2590mm,3
Hermitage Homes,EXTERNALS,"Provide Neutralizing to all Brickwork.
Note: For light coloured Bricks, the acid wash needs to be neutralized to help prevent iron staining, acid burning or vanadium staining.",220.00000000000003,,,1
Hermitage Homes,EXTERNALS,Provide a Re-Establishment Survey due to shared crossover.,1000,,,2
Hermitage Homes,EXTERNALS,Provide 1No. 2040mm high x 820mm wide PMAD Door with Obscure Glazing to the Front Entry in lieu of standard with Clear Glazing.,105,,,3
Hermitage Homes,EXTERNALS,Provide 1No. 2040mm high x 820mm wide PMAD Door with Translucent Glazing to the Front Entry in lieu of standard with Clear Glazing.,385,,,4
Hermitage Homes,EXTERNALS,Provide 1No. 2040mm high x 920mm wide PMAD Door with Clear Glazing to the Front Entry in lieu of 2040mm high x 820mm wide PMAD Door with Clear Glazing.,217,,,5
Hermitage Homes,EXTERNALS,Provide 1No. 2040mm high x 1020mm wide PMAD Door with Clear Glazing to the Front Entry in lieu of 2040mm high x 820mm wide PMAD Door with Clear Glazing.,375,,,6
Hermitage Homes,EXTERNALS,"Provide 1No. 2340mm high Front Entry Door in lieu of standard 2040mm.
Note: Requires 2720mm high ceilings.",440.00000000000006,,,7
Hermitage Homes,EXTERNALS,Provide 1No. 2000 litre Water Tank including plumbing and connections to up to 3No. Toilets.,4400,2025-12-19,,8
Hermitage Homes,EXTERNALS,Provide 1No. 5000 litre Water Tank including plumbing and connections to up to 3No. Toilets.,6600.000000000001,2025-12-19,,9
Hermitage Homes,EXTERNALS,"Provide 450mm wide eaves to the front Façade, returning 1500mm around the house.",1100,,,10
Hermitage Homes,EXTERNALS,"Provide 450mm wide eaves to the front Façade, returning 3000mm around the house.",1320,,,11
Hermitage Homes,EXTERNALS,Provide a 25 degree roof pitch in lieu of 22.5 degrees.,0,,,12
Hermitage Homes,EXTERNALS,Provide a Rendered finish to the front projection in lieu of face Brickwork.,1650,,,13
Hermitage Homes,EXTERNALS,Provide a Rendered finish to the whole front Façade in lieu of face Brickwork.,3300,,,14
Hermitage Homes,EXTERNALS,"Provide category 1 Brickwork above all windows & doors in lieu of painted infill panel.
Note: This excludes Garage sectional panel.",2420,,,15
Hermitage Homes,EXTERNALS,Provide category 1 Brickwork above the Garage door in lieu of painted infill panel.,1210,,,16
Hermitage Homes,EXTERNALS,Provide Category 4 Flat profile Roof Tiles and Full Sarking where required in lieu of category 1 Shaped Roof Tiles.,3000,,,17
Hermitage Homes,EXTERNALS,Provide Colorbond Roofing with 1No. Whirlybird and Sarking in lieu of category 1 Roof Tiles.,5990,,,18
Hermitage Homes,EXTERNALS,Provide colour through concrete driveway and path to the front porch in lieu of colour on concrete.,550,,,19
Hermitage Homes,EXTERNALS,"Provide exposed aggregate concrete driveway, path to the front porch and outdoor living in lieu of colour on concrete.",5560,,,20
Hermitage Homes,EXTERNALS,Provide Instant Turf to Nature Strip.,1200,,,21
Hermitage Homes,EXTERNALS,"Provide 1No. 760mm x 460mm Rectangular Skylight, to suit a Tiled Roof, to #####.
Note: Exact location to be decided on site and is based off Roof Truss layout.",1480,,,22
Hermitage Homes,EXTERNALS,"Provide 1No. 760mm x 460mm Rectangular Skylight, to suit a Colorbond Roof, to #####.
Note: Exact location to be decided on site and is based off Roof Truss layout.",1664,,,23
Hermitage Homes,EXTERNALS,Provide 1No. Capped Gas point to the Outdoor Living.,231,,,24
Hermitage Homes,EXTERNALS,"Provide Provisions to Outdoor Living; including:
- 1No. Capped Gas point
- 1No. Capped Cold and 1No. Capped Hot Water Point
- 1No. additional Waste Point",787,,,25
Hermitage Homes,EXTERNALS,"Provide Double Glazed Aluminium Windows and Sliding Doors to the entire Single Storey House in lieu of Single Glazing.
Note: All windows will be changed to Awning.",8000,,,26
Hermitage Homes,EXTERNALS,"Provide Double Glazed Aluminium Windows and Sliding Doors to the entire Double Storey House in lieu of Single Glazing.
Note: All windows will be changed to Awning.",13000,,,27
Hermitage Homes,EXTERNALS,"Provide 1No. Lockwood Nexion Lever Entrance Set with L3 Lever, in Satin Chrome, to the Front Entry in lieu of standard Entrance Set.",233,,,28
Hermitage Homes,EXTERNALS,Provide 1No. Whirlybird.,324,,,29
Hermitage Homes,EXTERNALS,Provide 1No. 1200mm high x 600mm wide Single Glazed Aluminium Sliding Window with Obscure Glazing to the ######## in lieu of Brickwork.,200,,,30
Hermitage Homes,EXTERNALS,Provide 1No. 1800mm high x 1500mm wide Single Glazed Aluminium Sliding Window to the ######## in lieu of Brickwork.,180,,,31
Hermitage Homes,EXTERNALS,"Provide a 1000mm wide plain concrete path around the home. From the Garage rear door, continuing around three sides and terminating at the side gate/wing fence. For homes up to and including 22 Squares",6700,,,32
Hermitage Homes,EXTERNALS,Provide Artificial turf to the front yard only in lieu of natural turf $120m2 Calculated by plan,0,,,33
Hermitage Homes,INTERNALS,Provide 1No. 2040mm high x 820mm wide hinged and latched flush panel door with standard lever handles in lieu of opening.,0,,,1
Hermitage Homes,INTERNALS,Provide 1No. 2040mm high x 820mm wide Hinged Aluminium Barrier Door with Black Diamond Grille and Fibreglass Mesh to the #########. (#No. Total).,0,,,2
Hermitage Homes,INTERNALS,Provide 1No. 2040mm high x 1020mm wide Hinged Aluminium Barrier Door with Black Diamond Grille and Fibreglass Mesh to the #########. (#No. Total).,0,,,3
Hermitage Homes,INTERNALS,"Provide 1No. 2340mm high internal flush panel door to the ############# in lieu of 2040mm high (#No. Total).
Note: Requires 2720mm high ceilings.",0,,,4
Hermitage Homes,INTERNALS,Provide 1No. 2040mm high x up to 1800mm wide Sliding Door unit with 2No. Vinyl Sliding Doors to ########## in lieu of standard hinged only doors. (1No. Unit total),0,,,5
Hermitage Homes,INTERNALS,Provide 1No. 2040mm high x up to 1800mm wide Sliding Door unit with 2No. Mirror Sliding Doors to ########## in lieu of standard hinged only doors. (1No. Unit total),0,,,6
Hermitage Homes,INTERNALS,Provide 1No. Whitco Privacy Lock to ########## in lieu of standard Passage Set. (1No. Total),0,,,7
Hermitage Homes,INTERNALS,"Provide a Stained Hardwood Timber Staircase in lieu of standard carpeted MDF staircase including:
- Stained Hardwood Timber Treads and Closed Risers
- Painted Posts, Balustrading & Handrail where applicable
- Painted Handrail only where closed by walls",7000,,,8
Hermitage Homes,INTERNALS,"Provide 1No. Painted 2040mm high x 820mm wide Hinged & Latched Flush Panel Garage/House Access Door, with 1No. Entrance Set, from the Entry to the Garage in lieu of standard 90mm plaster wall.",392,,,9
Hermitage Homes,INTERNALS,Provide 1No. 2000mm high set of 4No. 508mm wide standard Drawers and 2No. adjustable Shelves to ###########. (#No. Total),392,,,10
Hermitage Homes,INTERNALS,Provide soft close hinges to the cabinet doors to the whole House in lieu of standard hinges.,1500,,,11
Hermitage Homes,INTERNALS,Provide 1No. ###mm wide Cavity Sliding Door to the ########### in lieu of opening.,413,2025-12-19,,12
Hermitage Homes,INTERNALS,Provide 1No. ###mm wide Cavity Sliding Door and 1No. additional heating outlet to the Ensuite in lieu of opening.,563,,,13
Hermitage Homes,INTERNALS,"Provide 1No. ###mm wide Cavity Sliding Door to the WIR in lieu of opening, 1No. ###mm wide Cavity Sliding Door and 1No. additional heating outlet to the Ensuite in lieu of opening. (2No. total)",976,,,14
Hermitage Homes,INTERNALS,Provide an L Shaped fingerpull throughout Home in lieu of standard Cabinet Handles.,1100,,,15
Hermitage Homes,INTERNALS,"Provide Matte Black finishes to all standard Chrome Fittings/Fixtures. This includes and is not limited to EVERYTHING in the Bathroom/Ensuite, Internal & External Door Handles/Hinges/Latches/Strikers/Stops, Plug & Waste, Shower Screens, Tile Trims, Sink Mixers & Cabinet Handles. 
- Posh Solus MK3 Basin Mixer Tap in Matte Black in lieu of standard
- Posh Solus MK3 Shower/Wall Mixer in Matte Black in lieu of standard
- Posh Solus MK3 Wall Bath Mixer Set in Matte Black in lieu of standard
- Posh Solus MK3 Gooseneck Sink Mixer in Matte Black to the Kitchen and Laundry in lieu of standard
- Posh Domaine Single Rail Shower in Matte Black in lieu of standard
- Posh Solus MK2 Toilet Roll Holder Matte Black in Matte Black
- Posh Solus MK2 Single Towel Rail 750mm Matte Black
- Lockwood Velocity passage/privacy set and dummy handles, in Matte Black, in lieu of standard
- Lockwood Symmetry series entrance set Element Lever – 7550 Matte Black in lieu of standard
- Window frames to be Black
- Sliding door frame to be Black",3600,2023-10-04,,16
Hermitage Homes,ELECTRICAL,Provide 1No. additional Amphis Jasper Single LED Black Flood Light with sensor to the ########. (1No. Total),150,,,1
Hermitage Homes,ELECTRICAL,Provide 1No. additional Amphis Jasper Double LED Black Flood Light with sensor to the #########. (1No. Total),175,,,2
Hermitage Homes,ELECTRICAL,Provide 1No. additional Weatherproof Double GPO to the ##########. (1No. Total),115,,,3
Hermitage Homes,ELECTRICAL,Provide 1No. Light Batten & Nogg for future Pendant.,98,,,4
Hermitage Homes,ELECTRICAL,Provide 3No. Piatto 240 Pendant Lights Black in Colour over Kitchen Island.,350,,,5
Hermitage Homes,ELECTRICAL,Provide 1No. additional Double GPO with 2No. USB ports to the ##########. (1No. Total),172,,,6
Hermitage Homes,ELECTRICAL,Provide LED downlights in lieu of standard light points. (#No. Total) Refer to plans for locations.,105,,,7
Hermitage Homes,ELECTRICAL,Provide LED downlights in lieu of standard light points throughout House for Single Storey. Refer to plans for locations.,1260,,,8
Hermitage Homes,ELECTRICAL,Provide LED downlights in lieu of standard light points throughout House for Double Storey. Refer to plans for locations.,1785,,,9
Hermitage Homes,ELECTRICAL,"Provide 1No. 48"" ceiling fan to the #######. (#No. Total)",570,2025-12-19,,10
Hermitage Homes,ELECTRICAL,"Provide 1No. 48"" ceiling fan with light to ######### in lieu of LED light. (#No. Total)",0,2025-12-19,,11
Hermitage Homes,ELECTRICAL,Provide 1No. Brilliant White Vector-III 52'' AC Ceiling Fan with CCT LED Light to the ceiling of the Outdoor Living in lieu of standard light point,650,2026-02-05,,12
Hermitage Homes,ELECTRICAL,Provide 1No. Additional Double GPO to all bedrooms.,528,,,13
Hermitage Homes,ELECTRICAL,Provide 1No. additional Double GPO to the #########. (#No. Total),0,2025-12-19,,14
Hermitage Homes,ELECTRICAL,"Provide Fire Safety inclusions:
- Provide Photoelectric Smoke Alarms
- Provide Thermal Alarms
- Provide evacuation Lights including relay from smoke alarms
- Provide 2.5kg Dry Powder Extinguisher
- Provide Exit Door Hardware
- Includes return trip to fit off",12500,,,15
Hermitage Homes,ELECTRICAL,"Provide a Bosch 3000 Alarm Security System including:
1 x Bosch 3000 16 Zone Alarm System with Icon Keypad & Battery Back-up
3 x Standard PIR Sensors
1 x External siren/strobe
1 x Internal Siren
Including pre-wire, installation and programming",2200,2025-12-19,,16
Hermitage Homes,ELECTRICAL,Provide 1No. Fan/Light/Heater with 4No. Heat Globes to the ######### in lieu of 1No. Exhaust Fan and 1No. Light Point. (##No. total),0,2025-12-19,,17
Hermitage Homes,ELECTRICAL,Provide 2No. Supply and install CLIPSAL WDL830 up/down lights to front Porch (2No. total),540,2025-12-19,,18
Hermitage Homes,ELECTRICAL,Provide 1No. additional LED Dimmable Downlight Warm White.,115,2025-12-19,,19
Hermitage Homes,ELECTRICAL,Provide 1No. additional TV point for NBNco Community.,89,2025-12-19,,20
Hermitage Homes,ELECTRICAL,Doodwe 3KW standard inverter 5 x 440w Tier 1 panels - 2.2KW System.,5162,2024-08-14,,21
Hermitage Homes,ELECTRICAL,Doodwe 3KW standard inverter 12 x 440w Tier 1 panels - 5.28KW System.,9150,2024-08-14,,22
Hermitage Homes,ELECTRICAL,"Provide 1No. Panacom PAN830SK Colour Doorbell Video Intercom with Touchscreen including:
- 1No. Surface Colour Camera
- 1No. 7"" Touchscreen LCD Monitor
- 1No. GPO behind Monitor",1595.0000000000002,2025-12-19,,23
Hermitage Homes,ELECTRICAL,Provide 3 phase power to the home in lieu of single phase including additional internal switchboard for increased number of modules. Pending 3 phase availability in power pit. If deemed not available client to organise at their cost or a reduction in number of appliances in home will be required to comply with single phase connection.,2300,2025-09-19,,24
Hermitage Homes,HEATING & COOLING,Provide 1No. additional 3.5kw split system unit to the Master Bedroom.,2540,2025-12-19,,1
Hermitage Homes,HEATING & COOLING,"Provide Evaporative Cooling with up to 8No. outlets, to the whole single storey house in lieu of 1No. split system in Living Area.",4060,2025-12-19,,2
Hermitage Homes,HEATING & COOLING,Provide Evaporative Cooling with 8No. outlets to a single storey.,6230,2025-12-19,,3
Hermitage Homes,HEATING & COOLING,Provide Evaporative Cooling with 5No. outlets to upstairs only of a double storey.,4730,,,4
Hermitage Homes,HEATING & COOLING,Provide Evaporative Cooling with up to 5No. outlets to upstairs only of a double storey in lieu of 1No. split system in Master Bedroom.,3430,,,5
Hermitage Homes,HEATING & COOLING,"Provide Refrigerated Reverse Cycle Cooling to a Single Storey up to 20 Squares in lieu of standard gas ducted and split system including:
- 1No. Rinnai DINLR09B1/DONSR09B1 Electric Reverse Cycle one phase air conditioning system ducted to
8 ceiling points.
- Up to 8No. outlets 
- 2No. Zone Motors *Zone 1 (Day): Living * Zone 2: (Night) Sleeping
- 1 No. Programmable Controller with separate 2 zone manual gang switch Day/night Zoning (no individual temp control to zones)
- 1No. Filtered Return Air Grille
- 1200mm (W) x 650mm (D) Concrete Pad for Condenser Unit
- 25amp external isolated weatherproof GPO for condenser unit to RHS of condenser unit
- 16amp single GPO for roof space unit",10000,2025-06-24,DG priced via fraser air.,6
Hermitage Homes,HEATING & COOLING,"Provide Refrigerated Reverse Cycle Cooling to a Single Storey up to 16 Squares in lieu of standard gas ducted and split system including:
- 1No. Rinnai DINLR07B1/DONSR07B1 Electric Reverse Cycle one phase air conditioning system ducted to
7 ceiling points.
- Up to 7No. outlets 
- 2No. Zone Motors *Zone 1 (Day): Living * Zone 2: (Night) Sleeping
- 1 No. Programmable Controller with separate 2 zone manual gang switch Day/night Zoning (no individual temp control to zones)
- 1No. Filtered Return Air Grille
- 1200mm (W) x 650mm (D) Concrete Pad for Condenser Unit
- 20amp external isolated weatherproof GPO for condenser unit to RHS of condenser unit
- 16amp single GPO for roof space unit",7500,2025-08-13,DG priced via fraser air.,7
Hermitage Homes,HEATING & COOLING,"Provide Refrigerated Reverse Cycle Cooling to the Leon 22 with 6 zones in lieu of standard gas ducted and split system including:
Rinnai DINLR11B1/DONSR11B1 Single Phase to 8 outlets
Including Touch Screen Smart Tablet, 6 zones with air management system as detailed & Wi-Fi
Bypass airflow management system and upgraded square vents in lieu of round
Zone 1: Family/Meals/Kitchen, Entry Zone 2: Bed 1
Zone 3: Bed 2 Zone 4: Bed 3
Zone 5: Bed 4 Zone 6: Bed 5
R1.5 Insulated duct work to upper roof space
16Amp isolated GPO in roof space 
32Amp Weatherproof isolated GPO to outdoor Condenser unit
1200 x 650mm concrete slab for condenser unit",14500,2025-08-19,DG priced via fraser air.,8
